City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.08,-159.32,84.2,62,1,14.99,US,1592268812
Rikitea,-23.12,-134.97,75.76,81,32,11.48,PF,1592268813
Tasiilaq,65.61,-37.64,39.2,80,77,10.29,GL,1592268814
Puerto Ayora,-0.74,-90.35,72.0,91,100,3.0,EC,1592268815
Forsytheganj,52.63,29.73,63.14,97,87,4.14,BY,1592268816
Kaitangata,-46.28,169.85,48.0,77,100,1.99,NZ,1592268817
Albany,42.6,-73.97,68.0,56,21,0.98,US,1592268720
Kununurra,-15.77,128.73,80.6,25,0,13.87,AU,1592268820
Chui,-33.7,-53.46,54.84,92,74,9.53,UY,1592268665
Belyy Yar,53.6,91.39,57.2,76,70,6.71,RU,1592268822
Castro,-24.79,-50.01,54.75,97,68,7.74,BR,1592268707
Blackfoot,43.19,-112.34,75.2,22,40,13.87,US,1592268824
Camapuã,-19.53,-54.04,72.19,57,0,10.85,BR,1592268665
Ushuaia,-54.8,-68.3,39.2,80,20,5.82,AR,1592268634
North Bend,43.41,-124.22,60.01,87,90,5.82,US,1592268827
Hobart,-42.88,147.33,59.0,51,20,29.97,AU,1592268727
Husavik,66.04,-17.34,46.4,65,91,23.04,IS,1592268829
Ostrovnoy,68.05,39.51,44.65,71,91,14.34,RU,1592268831
Klaksvík,62.23,-6.59,50.0,100,100,5.82,FO,1592268832
Tiarei,-17.53,-149.33,84.2,70,75,11.41,PF,1592268833
Pevek,69.7,170.31,42.49,76,0,1.77,RU,1592268834
Vila Velha,-20.33,-40.29,73.4,88,90,14.99,BR,1592268835
Parsons,37.34,-95.26,90.0,40,1,6.93,US,1592268836
Yulara,-25.24,130.99,53.6,40,0,11.41,AU,1592268837
Muravlenko,63.79,74.52,54.19,66,100,17.22,RU,1592268838
Maţāy,28.42,30.78,70.48,47,0,7.31,EG,1592268839
Hailun,47.45,126.93,70.21,65,11,8.66,CN,1592268840
Norman Wells,65.28,-126.83,66.2,32,75,3.36,CA,1592268842
Khatanga,71.97,102.5,51.31,53,24,8.72,RU,1592268843
Punta Arenas,-53.15,-70.92,32.0,84,1,2.24,CL,1592268670
East London,-33.02,27.91,62.33,70,100,8.79,ZA,1592268845
Bredasdorp,-34.53,20.04,44.6,93,0,5.01,ZA,1592268846
Ridgecrest,35.62,-117.67,96.8,13,75,18.34,US,1592268614
Caravelas,-17.71,-39.25,76.01,77,100,11.68,BR,1592268726
Kautokeino,69.01,23.04,42.93,64,81,7.18,NO,1592268849
Mossamedes,-15.2,12.15,69.62,62,0,1.23,AO,1592268846
Sumter,28.71,-82.08,81.0,69,2,5.01,US,1592268851
São Domingos do Maranhão,-5.58,-44.39,73.6,73,0,3.96,BR,1592268853
New Norfolk,-42.78,147.06,57.99,75,46,7.0,AU,1592268855
Cape Town,-33.93,18.42,46.99,93,0,3.36,ZA,1592268856
Fare,-16.7,-151.02,79.92,83,59,13.71,PF,1592268857
Casambalangan,18.38,122.13,86.43,66,10,4.16,PH,1592268858
Saldanha,-33.01,17.94,50.0,81,0,2.24,ZA,1592268860
Port Elizabeth,-33.92,25.57,55.4,93,40,4.7,ZA,1592268862
Atuona,-9.8,-139.03,80.55,74,61,12.21,PF,1592268859
Cabo San Lucas,22.89,-109.91,91.99,21,5,13.87,MX,1592268637
San Luis,-33.3,-66.34,46.44,53,0,2.19,AR,1592268664
Mataura,-46.19,168.86,54.97,71,99,4.23,NZ,1592268867
Gaoual,11.75,-13.2,76.71,91,100,5.82,GN,1592268868
Lufilufi,-13.87,-171.6,87.8,74,75,13.87,WS,1592268869
Mahébourg,-20.41,57.7,69.01,77,98,5.01,MU,1592268871
São Filipe,14.9,-24.5,76.95,78,0,4.0,CV,1592268872
Hofn,64.25,-15.21,47.86,82,7,12.93,IS,1592268873
Troitsko-Pechorsk,62.71,56.2,62.73,65,92,7.92,RU,1592268874
Saint-Philippe,-21.36,55.77,66.2,82,90,11.41,RE,1592268875
Bambous Virieux,-20.34,57.76,69.01,77,100,5.01,MU,1592268876
George Town,5.41,100.34,77.0,100,40,4.43,MY,1592268745
Half Moon Bay,37.46,-122.43,70.0,77,75,12.75,US,1592268878
Nikolskoye,59.7,30.79,66.2,82,40,2.51,RU,1592268879
Honiara,-9.43,159.95,87.8,58,75,18.34,SB,1592268882
Kurumkan,54.3,110.3,74.52,41,0,2.77,RU,1592268883
Inawayan,6.96,125.47,82.4,74,40,10.29,PH,1592268884
Chokurdakh,70.63,147.92,71.04,43,98,7.2,RU,1592268885
Libertador General San Martín,-23.81,-64.79,58.14,51,0,2.39,AR,1592268886
Yellowknife,62.46,-114.35,53.6,66,75,17.22,CA,1592268888
Makakilo City,21.35,-158.09,86.0,51,20,14.99,US,1592268890
The Pas,53.83,-101.25,71.6,33,1,21.92,CA,1592268892
Laguna,38.42,-121.42,82.4,34,1,17.22,US,1592268894
Naze,28.37,129.48,80.6,88,75,17.22,JP,1592268895
Kambove,-10.88,26.6,50.54,81,0,6.08,CD,1592268896
Tiznit Province,29.58,-9.5,70.34,36,0,1.86,MA,1592268897
Shimoda,34.67,138.95,77.0,73,75,4.7,JP,1592268862
Carnarvon,-24.87,113.63,59.0,24,0,9.17,AU,1592268899
Goderich,43.75,-81.72,62.01,74,0,10.45,CA,1592268900
Busselton,-33.65,115.33,57.99,85,70,9.04,AU,1592268901
Ilulissat,69.22,-51.1,35.6,80,82,6.93,GL,1592268902
Torbay,47.67,-52.73,48.2,100,90,3.36,CA,1592268903
Tessalit,20.2,1.01,94.26,10,0,14.25,ML,1592268905
La Grande,45.32,-118.09,55.4,82,90,5.82,US,1592268906
Bethel,41.37,-73.41,66.2,59,1,4.7,US,1592268907
Lalupon,7.47,4.07,73.98,97,100,2.62,NG,1592268908
Kimbe,-5.55,150.14,89.69,57,11,2.64,PG,1592268910
Chumikan,54.72,135.31,38.26,96,100,9.06,RU,1592268911
Esperance,-33.87,121.9,51.8,81,100,6.93,AU,1592268912
Labuhan,-6.88,112.21,81.25,84,100,6.78,ID,1592268913
Shahr-e Kord,32.33,50.86,51.8,34,0,4.7,IR,1592268915
Te Anau,-45.42,167.72,52.72,86,100,5.91,NZ,1592268917
Ponnāni,10.77,75.93,75.2,94,90,2.24,IN,1592268815
Mackenzie,55.3,-123.17,62.6,36,90,10.29,CA,1592268920
Vaini,-21.2,-175.2,75.2,60,20,14.99,TO,1592268921
Isangel,-19.55,169.27,80.6,61,20,13.87,VU,1592268923
Aykhal,66.0,111.5,53.6,58,90,6.71,RU,1592268924
Ossora,59.24,163.07,56.05,57,80,8.41,RU,1592268925
Cockburn Town,21.46,-71.14,82.45,81,100,16.17,TC,1592268926
Vila do Maio,15.13,-23.22,80.6,78,0,5.82,CV,1592268927
Upernavik,72.79,-56.15,32.99,92,28,11.1,GL,1592268916
Bondeno,44.89,11.41,64.99,87,100,1.88,IT,1592268929
Urusha,54.05,122.9,67.01,52,24,5.55,RU,1592268930
Touros,-5.2,-35.46,77.0,94,40,4.7,BR,1592268931
Nouadhibou,20.93,-17.03,86.0,42,15,32.21,MR,1592268932
Hermanus,-34.42,19.23,53.01,88,7,1.99,ZA,1592268861
Buta,2.79,24.73,68.99,96,80,0.96,CD,1592268904
Kuruman,-27.45,23.43,42.04,55,0,15.88,ZA,1592268937
Gisborne,-38.65,178.0,60.01,58,100,5.01,NZ,1592268717
Bilibino,68.05,166.44,71.92,32,49,3.47,RU,1592268939
Valparaíso,-33.04,-71.63,55.4,87,75,12.75,CL,1592268940
Tiksi,71.69,128.87,52.63,74,100,19.95,RU,1592268941
Bluff,-46.6,168.33,55.98,77,98,11.54,NZ,1592268942
Saint George,37.1,-113.58,93.99,9,1,12.75,US,1592268931
Katsuura,35.13,140.3,82.0,78,75,6.93,JP,1592268944
Ribeira Grande,38.52,-28.7,63.9,87,1,15.14,PT,1592268946
Roald,62.58,6.13,55.0,100,90,12.75,NO,1592268946
Tuktoyaktuk,69.45,-133.04,66.2,37,75,16.11,CA,1592268879
Cherskiy,68.75,161.3,77.31,27,0,7.23,RU,1592268899
Hithadhoo,-0.6,73.08,84.27,76,11,14.83,MV,1592268950
Provideniya,64.38,-173.3,57.2,62,100,8.95,RU,1592268952
Olafsvik,64.89,-23.71,46.2,73,97,16.26,IS,1592268953
Nanortalik,60.14,-45.24,41.27,84,100,11.12,GL,1592268954
Avarua,-21.21,-159.78,75.2,57,5,6.93,CK,1592268956
Souillac,-20.52,57.52,69.01,77,92,5.01,MU,1592268957
Katangli,51.71,143.23,44.28,80,100,5.84,RU,1592268958
Arraial do Cabo,-22.97,-42.03,70.03,76,73,12.35,BR,1592268959
Aranos,-24.13,19.12,40.84,56,0,9.64,NA,1592268960
Kānker,20.27,81.49,78.64,82,100,12.93,IN,1592268963
Qaanaaq,77.48,-69.36,31.51,95,1,3.04,GL,1592268925
Maragogi,-9.01,-35.22,75.99,88,16,10.65,BR,1592268965
General Roca,-39.03,-67.58,37.4,86,100,2.24,AR,1592268967
Barrow,71.29,-156.79,42.8,75,1,12.75,US,1592268968
Udachny,66.42,112.4,53.6,58,90,6.71,RU,1592268969
Jamestown,42.1,-79.24,66.2,42,1,6.93,US,1592268859
Stokmarknes,68.56,14.91,45.0,76,95,8.01,NO,1592268972
Sur,22.57,59.53,89.83,50,63,6.6,OM,1592268973
Vostok,46.49,135.88,48.2,100,100,1.61,RU,1592268974
Korla,41.76,86.15,72.0,49,2,1.01,CN,1592268976
Okhotsk,59.38,143.3,60.53,53,0,11.9,RU,1592268977
Lensk,60.73,114.93,70.41,59,23,3.4,RU,1592268978
Port Alfred,-33.59,26.89,57.0,96,100,4.59,ZA,1592268979
San Quintín,30.48,-115.95,67.33,68,0,9.04,MX,1592268980
Asău,46.43,26.4,57.0,92,97,2.71,RO,1592268925
Tuatapere,-46.13,167.68,55.08,81,74,6.44,NZ,1592268982
Lorengau,-2.02,147.27,85.08,72,100,10.76,PG,1592268907
San Patricio,19.22,-104.7,82.4,74,5,11.41,MX,1592268985
Lebu,-37.62,-73.65,53.74,86,16,18.63,CL,1592268986
Carambeí,-24.92,-50.1,52.74,100,35,8.25,BR,1592268988
Elesbão Veloso,-6.2,-42.14,74.17,72,0,5.08,BR,1592268989
Vrangel',42.73,133.08,60.62,73,15,4.74,RU,1592268990
Lundazi,-12.29,33.18,54.97,79,0,9.82,ZM,1592268991
Sevierville,35.87,-83.56,71.6,56,1,4.7,US,1592268833
Necochea,-38.55,-58.74,48.99,89,100,11.01,AR,1592268994
Amga,60.9,131.96,70.05,46,0,4.27,RU,1592268995
Porto Santo,33.07,-16.34,69.8,88,40,6.93,PT,1592268996
Cidreira,-30.18,-50.21,62.65,88,1,19.22,BR,1592268887
Saint Paul Harbor,57.79,-152.41,57.2,50,90,10.29,US,1592268998
Itarema,-2.92,-39.92,77.63,87,37,9.98,BR,1592268968
Catuday,16.29,119.81,83.62,76,100,11.23,PH,1592269000
Mehamn,71.04,27.85,41.18,70,100,22.7,NO,1592269001
Hasaki,35.73,140.83,82.0,69,75,2.24,JP,1592269002
Coquimbo,-29.95,-71.34,55.4,82,75,3.36,CL,1592269003
Kavieng,-2.57,150.8,84.16,74,96,12.46,PG,1592269005
Monrovia,6.3,-10.8,78.8,94,40,6.24,LR,1592269006
Maniitsoq,65.42,-52.9,37.92,85,100,5.46,GL,1592269007
Dikson,73.51,80.55,33.91,94,97,11.36,RU,1592269009
Walvis Bay,-22.96,14.51,68.0,18,0,3.36,NA,1592269010
Paamiut,61.99,-49.67,40.33,92,100,30.44,GL,1592269011
Ţahţā,26.77,31.5,82.4,30,0,13.87,EG,1592269012
Algarrobo,10.19,-74.58,82.0,84,63,0.27,CO,1592269013
Beloha,-25.17,45.05,61.27,95,8,5.95,MG,1592269014
Butaritari,3.07,172.79,83.8,76,30,11.12,KI,1592268897
Lucapa,-8.42,20.74,59.97,48,100,3.38,AO,1592269017
St. George's,12.06,-61.75,82.4,78,20,16.75,GD,1592269018
Ulagan,50.63,87.96,54.91,71,76,1.05,RU,1592269020
Los Llanos de Aridane,28.66,-17.92,73.4,78,100,2.24,ES,1592268872
Bengkulu,-3.8,102.27,80.8,73,6,3.71,ID,1592268858
Otradnoye,59.78,30.82,66.2,82,40,2.53,RU,1592269023
Espera Feliz,-20.65,-41.91,61.03,96,90,4.72,BR,1592269024
Lagoa,39.05,-27.98,63.86,83,0,15.43,PT,1592268884
Pochutla,15.74,-96.47,86.0,70,20,4.7,MX,1592269026
Severo-Kuril'sk,50.68,156.12,43.0,85,100,13.71,RU,1592268902
Yining,29.04,114.56,87.12,65,42,5.03,CN,1592269029
Tymovskoye,50.85,142.66,51.15,73,100,2.59,RU,1592269030
Port Hedland,-20.32,118.57,71.6,28,0,10.29,AU,1592268886
Pacific Grove,36.62,-121.92,66.99,68,75,18.34,US,1592269032
Chicla,-11.71,-76.27,47.71,52,52,4.29,PE,1592269033
Andenes,69.31,16.12,42.8,87,100,3.36,NO,1592268911
Manali,13.17,80.27,86.0,70,40,6.93,IN,1592269035
Tura,25.52,90.22,77.43,94,100,6.44,IN,1592269037
Nagato,34.38,131.2,78.8,65,20,11.41,JP,1592269040
Miraflores,19.22,-98.81,78.8,12,5,11.41,MX,1592269043
Hobyo,5.35,48.53,79.38,72,4,20.98,SO,1592269044
Road Town,18.42,-64.62,82.99,82,6,17.0,VG,1592269035
Mar del Plata,-38.0,-57.56,54.0,87,99,12.75,AR,1592268881
Antofagasta,-23.65,-70.4,59.0,82,90,8.05,CL,1592269048
Longuenesse,50.73,2.24,59.0,95,3,3.04,FR,1592269049
Saint-Ambroise,48.55,-71.33,68.0,40,40,3.36,CA,1592269050
Finale Ligure,44.17,8.34,64.99,100,20,10.29,IT,1592269051
Hilo,19.73,-155.09,82.4,61,75,9.17,US,1592268919
Genk,50.97,5.5,64.4,77,77,8.05,BE,1592269053
Rio Grande,-32.03,-52.1,58.69,91,86,12.03,BR,1592268960
Stege,54.99,12.28,61.0,71,0,3.36,DK,1592269055
Vozhega,60.47,40.22,52.79,96,100,4.36,RU,1592269056
Hong Kong,22.29,114.16,86.0,79,0,1.99,HK,1592268786
Diamantino,-14.41,-56.45,71.56,57,0,2.57,BR,1592269059
Kruisfontein,-34.0,24.73,52.66,85,67,2.44,ZA,1592268948
Kwang Binh,17.48,106.6,81.5,74,100,6.69,VN,1592269061
Bilma,18.69,12.92,88.92,15,0,9.82,NE,1592269062
Chute-aux-Outardes,49.12,-68.4,64.4,39,1,11.41,CA,1592269063
Kalabo,-14.97,22.68,54.21,67,0,5.86,ZM,1592269064
Ixtapa,20.7,-105.2,82.4,65,20,12.75,MX,1592269065
San Policarpo,12.18,125.51,83.71,72,89,5.77,PH,1592268962
Oranjemund,-28.55,16.43,59.92,31,21,13.0,NA,1592268906
Vila,42.03,-8.16,62.01,93,20,5.82,PT,1592269069
Uray,60.12,64.78,61.66,68,18,7.9,RU,1592269070
Nālūt,30.33,10.85,69.06,29,0,11.14,LY,1592269071
Marsá Maţrūḩ,31.35,27.25,69.8,73,0,12.5,EG,1592269072
Praia,14.92,-23.51,80.6,78,0,5.82,CV,1592268828
Ilām,26.92,87.92,68.88,83,100,3.31,NP,1592269074
Fairbanks,64.84,-147.72,75.2,41,1,3.36,US,1592268953
Krasnoarmiys'k,48.28,37.18,62.22,81,100,10.54,UA,1592269076
Rosarito,32.33,-117.03,71.6,60,5,16.11,MX,1592269077
Kondinskoye,59.65,67.41,60.21,69,28,7.7,RU,1592269078
Saskylakh,71.92,114.08,50.2,82,100,11.92,RU,1592269081
Itaí,-23.42,-49.09,57.4,96,11,10.11,BR,1592269082
Kasongo-Lunda,-6.47,16.82,67.1,50,3,1.5,CD,1592269083
Price,39.6,-110.81,84.2,9,1,11.41,US,1592269084
Port Hardy,50.7,-127.42,53.6,93,75,6.93,CA,1592269085
Koygorodok,60.45,51.0,56.75,80,2,6.26,RU,1592269086
Leningradskiy,69.38,178.42,51.24,68,0,8.7,RU,1592269087
Sungai Raya,0.7,108.9,80.51,86,59,5.91,ID,1592269088
Bundaberg,-24.85,152.35,71.6,73,40,10.29,AU,1592269089
Mahanoro,-19.9,48.8,64.54,86,49,7.58,MG,1592269091
Mount Isa,-20.73,139.5,71.6,30,0,11.41,AU,1592269092
Batagay-Alyta,67.8,130.41,68.63,31,53,10.11,RU,1592269094
Gao,16.64,1.64,96.01,20,17,6.55,ML,1592269095
Otane,-39.88,176.63,59.16,61,100,2.21,NZ,1592269099
Vestmanna,62.16,-7.17,50.0,100,67,5.82,FO,1592269100
Dunedin,-45.87,170.5,59.0,54,86,11.99,NZ,1592269101
Longyearbyen,78.22,15.64,37.4,69,75,13.87,SJ,1592269102
Clyde River,70.47,-68.59,32.0,97,90,20.8,CA,1592268927
Tabou,4.42,-7.35,78.13,83,89,7.67,CI,1592269104
Kangaatsiaq,68.31,-53.46,36.81,80,0,16.84,GL,1592269105
Odienné,9.51,-7.57,75.74,80,89,3.6,CI,1592269106
Verkh-Usugli,52.7,115.17,79.02,35,0,1.61,RU,1592268888
San Lorenzo,-25.33,-57.53,77.0,69,0,8.05,PY,1592269109
Sandviken,60.62,16.77,52.0,76,100,1.99,SE,1592269110
Geraldton,-28.77,114.6,53.6,81,0,11.41,AU,1592268969
Parrita,9.52,-84.32,71.6,88,99,6.93,CR,1592269112
Constitución,-35.33,-72.42,55.17,90,100,23.33,CL,1592269113
Raudeberg,61.99,5.14,59.0,87,86,9.33,NO,1592269001
Severodvinsk,64.56,39.83,57.2,71,40,4.47,RU,1592269115
Minot,48.23,-101.3,79.0,44,1,6.93,US,1592269116
Vao,-22.67,167.48,73.8,73,0,18.75,NC,1592268999
Padang,-0.95,100.35,81.39,70,85,2.53,ID,1592269119
Iqaluit,63.75,-68.51,39.2,69,75,13.87,CA,1592269120
Deputatsky,69.3,139.9,71.35,32,95,14.5,RU,1592269121
Mattru,7.62,-11.83,74.82,97,35,2.39,SL,1592269122
Milan,45.46,9.19,66.99,93,100,8.05,IT,1592268952
Matai,-8.3,31.52,50.0,81,5,8.05,TZ,1592269125
Anaco,9.44,-64.47,76.15,87,100,6.67,VE,1592269126
Ponta Delgada,37.73,-25.67,62.6,77,20,17.22,PT,1592268893
Rawson,-43.3,-65.1,49.69,54,100,18.5,AR,1592268897
Kahului,20.89,-156.47,86.0,51,40,26.4,US,1592269086
Cobija,-11.03,-68.77,72.73,76,1,1.77,BO,1592269132
Slave Lake,55.28,-114.77,51.8,81,90,9.17,CA,1592269133
Constantine,36.37,6.61,59.0,58,0,2.24,DZ,1592269134
Shetpe,44.17,52.12,76.64,29,100,19.35,KZ,1592269135
Piney Green,34.72,-77.32,68.0,82,90,14.99,US,1592269136
San Cristobal,7.77,-72.22,84.2,51,40,14.99,VE,1592268844
Petrovskoye,57.01,39.27,56.34,95,100,6.53,RU,1592269138
Itacoatiara,-3.14,-58.44,77.7,73,0,0.81,BR,1592268991
Ayorou,14.73,0.92,96.96,28,32,7.49,NE,1592269140
Yoichi,43.2,140.77,66.2,77,75,17.22,JP,1592269142
Røros,62.57,11.38,44.6,100,0,1.12,NO,1592269143
Izberbash,42.57,47.86,71.6,73,55,8.95,RU,1592269144
Lázaro Cárdenas,17.96,-102.2,82.33,73,2,9.46,MX,1592269145
Tuy Hoa,13.08,109.3,80.4,82,100,3.85,VN,1592269146
Riyadh,24.69,46.72,87.8,22,0,3.36,SA,1592268904
Airai,-8.93,125.41,69.21,75,98,5.7,TL,1592268876
Champerico,14.3,-91.92,82.8,76,98,2.01,GT,1592269149
Mauguio,43.62,4.01,68.0,52,73,9.17,FR,1592269150
Yumen,40.28,97.2,73.26,27,98,5.88,CN,1592269151
Esil,51.96,66.4,57.51,68,10,8.41,KZ,1592269153
Hamilton,39.18,-84.53,75.0,57,53,5.12,US,1592269154
Pangnirtung,66.15,-65.71,35.56,85,100,3.27,CA,1592269155
Ponta do Sol,32.67,-17.1,68.0,94,75,8.05,PT,1592268944
Kavaratti,10.57,72.64,84.52,78,100,21.92,IN,1592268927
Iranshahr,27.2,60.68,95.0,19,100,4.7,IR,1592269158
Coyhaique,-45.58,-72.07,33.8,84,90,2.24,CL,1592269160
Trogir,43.51,16.25,66.2,82,0,2.24,HR,1592269161
Farim,12.48,-15.22,84.2,83,100,4.7,GW,1592269162
Dutlwe,-23.98,23.9,42.28,62,0,6.17,BW,1592269163
